Sample Volume (mL),Sample,BTA-d4 Recovery (%),BTA (ug/L),6PPDQ-d5 Recovery (%),6PPDQ (ug/L),6PPD (ug/L),MBT D4 Recovery (%),MBT,HMMM,Fipronil IS Recovery (%),Fipronil
1,CC1_0_05,0.745825511,0.125,0.993905282,0.067,N/F,0.59370067,N/A,0.019,0.979928162,0.371
1,CC2_0_1,0.911912118,0.125,1.26165315,0.091,0.41,0.95056285,0.25,0.107,1.63424992,0.399
1,CC3_0_5,0.941539212,0.522,0.953869793,0.289,0.582,1.034913799,0.44,0.414,1.258787798,0.606
1,CC4_1_0,0.963713161,0.966,0.947293037,1.046,0.933,0.95484856,0.742,0.937,1.116298405,0.935
1,CC5_2_0,0.99361067,1.91,0.933762205,2.12,1.953,0.973350104,2.014,1.965,1.051739389,1.721
1,CC6_5_0,0.993352069,5.022,0.941433149,5.401,4.628,0.985223499,5.163,5.035,0.860120375,4.602
1,CC7_10_0,1.058042655,10.659,0.978045615,10.277,9.634,1.021271767,10.039,8.426,0.540043277,9.781
1,CC8_20_0,1.137830116,19.675,0.98394305,19.359,20.77,1.079829421,19.952,19.574,0.538760837,20.235
1,MeOHBLK3,#VALUE!,N/F,0.00248358,14.545,117.983,0.005656156,30.723,N/F,#VALUE!,N/A
1,MeOHBLK3_1,#VALUE!,N/F,#VALUE!,N/A,N/F,0.002454758,14.593,N/F,#VALUE!,N/F
1,MeOHBLK4,#VALUE!,N/F,#VALUE!,N/F,N/A,#VALUE!,N/A,N/F,#VALUE!,N/F
1,MeOHBLK4_1,#VALUE!,N/F,#VALUE!,N/F,N/F,#VALUE!,N/F,N/F,#VALUE!,N/F
25,14082024_BLK1,0.986869341,0,0.852113232,0,0,0.769740665,0,0,1.041984183,0
25,DLG18-19_1-2,0.997917892,N/F,0.801248733,0.153,7.403,0.175784302,N/F,N/F,1.120913212,N/F
25,DLG18-19_1-1,1.001543003,N/F,0.767854157,0.242,10.424,0.194899424,0.436,N/F,0.834425454,N/F
25,DLG5-6_1-2,1.051296853,N/F,0.800175612,0.08,7.708,0.199278136,N/F,N/F,0.947735394,N/F
25,DLG5-6_1-1,0.998415268,N/F,0.825738754,0.062,7.035,0.185333083,N/F,N/F,1.103325291,N/F
25,14082024_BLK2,1.034489947,0,0.748831542,0,1.266,0.538566213,0,0,0.989790054,0
25,MeOHBLK5,#VALUE!,N/F,#VALUE!,N/F,N/F,#VALUE!,N/F,N/F,#VALUE!,N/F
1,QC1_1_0,1.046385595,0.976,0.732089446,1.07,1.895,0.941731002,0.778,0.837,0.862309966,0.947
25,MeOHBLK6,#VALUE!,N/F,#VALUE!,N/F,N/A,#VALUE!,N/F,N/F,#VALUE!,N/F
25,BolSurfSed1,1.165468079,0.147,0.75215531,1.392,73.627,0.061185678,7.929,0.06,1.001189034,N/F
25,BolSurfSed2,1.044598941,0.243,0.798990128,1.475,77.033,0.027567484,11.372,N/F,1.1035651,N/F
25,BolSurfSed3-2,1.125150689,4.274,0.786414986,1.166,33.02,0.024123909,6.631,N/F,1.100748603,N/F
25,BolSurfSed3-1,1.048529759,12.88,0.713690975,1.184,41.425,0.030229279,3.463,N/F,1.029109339,N/F
25,BolSurfSed_BLK1_150824,0.996581619,0,0.859660904,N/F,4.526,0.393259103,N/F,N/F,1.241480634,N/F
25,BolSurfSed4,1.034040833,2.032,0.771315356,0.743,59.669,0.116075754,2.305,N/F,0.949092218,N/F
25,BolSurfSed5,1.043397055,1.554,0.753065163,0.7,33.406,0.058909209,3.095,N/F,0.970634769,N/F
25,BolSurfSed6a,0.913762202,1.457,0.809663028,1.601,81.781,0.056997403,6.169,N/F,0.857976113,N/F
25,BolSurfSed6B-2,0.981096899,0.197,0.71579821,2.134,124.01,0.06031451,7.107,N/F,0.903461048,N/F
25,BolSurfSed6B-1,1.101718095,0.247,0.749512103,2.743,140.918,0.027565871,16.461,0.038,1.019577405,N/F
25,BolSurfSed6C,0.954389399,1.062,0.821702245,1.121,65.584,0.01299111,11.829,N/F,0.853909691,N/F
25,BolSurfSed_BLK2_160824,1.032634012,0,0.819226749,0.012,8.541,0.540628968,0,0,0.882417617,0
25,MeOHBLK7,#VALUE!,N/F,0.004396419,N/F,666.17,#VALUE!,N/F,N/F,#VALUE!,N/F
25,MeOHBLK8,#VALUE!,N/F,#VALUE!,N/F,N/A,#VALUE!,N/F,N/F,#VALUE!,N/F
1,QC2_1_0_A,0,1.026,0,1.022,3.142,0,0.803,0.835,0,0.962
10,OldBol1,0.943185219,0.261,0.879036484,1.825,96.442,0.035624573,9.09,N/F,1.008857138,N/F
10,OldBol_2,0.977686292,0.302,1.009148841,2.108,220.005,0.041433046,9.582,0.208,1.001325588,N/F
10,OldBol3,0.564101409,1.015,0.640365887,1.176,120.642,0.023843193,9.331,N/F,0.474000846,N/F
10,OldBol4,1.051462871,0.329,1.330401505,0.58,37.967,0.143298101,2.63,N/F,0.890457735,N/F
10,OldBol5,0.605727384,0.691,0.767160121,0.762,43.416,0.027998461,8.095,N/F,0.60625541,N/F
10,OldBol6a,0.710033643,0.419,0.761492,0.841,90.134,0.046119775,8.646,0.066,0.739244918,N/F
10,OldBol6b,0.778551974,0.353,0.662149681,4.505,449.499,#VALUE!,N/A,0.138,0.759271773,N/F
10,OldBol6c,1.12185964,0.475,1.063863654,1.388,90.417,0.00954981,21.296,0.11,0.909146043,N/F
10,OldBol7,0.856760814,0.212,0.785388198,1.092,76.712,0.008504763,9.532,0.066,0.753119108,N/F
10,OldBolBlk_030724,1.042271709,0,1.048902175,0.012,8.609,0.865704794,0,0,0.915249749,0
